no,paper_id,judul_singkat,tahun,venue_singkat,pdf_path,INCLUDE_YN,EC_kode,catatan_opsional
1,P0931,Position: Coding Benchmarks Are Misaligned with Agentic Software Engineering,2026,arXiv (Cornell University),02_slr/retrieval/pdfs/P0931.pdf,,,
2,P0066,HiveMind: Contribution-Guided Online Prompt Optimization of LLM Multi-Agent Syst,2026,Proceedings of the AAAI Conference on Artificial I,02_slr/retrieval/pdfs/P0066.pdf,,,
3,P0737,A Repository of Method Fragments for Agent-Oriented Development of Learning-Base,2021,IEEE Network,02_slr/retrieval/pdfs/P0737.pdf,,,
4,P2332,Many hands make light work: An LLM-based multi-agent system for detecting malici,2026,Journal of Systems and Software,02_slr/retrieval/pdfs/P2332.pdf,,,
5,P1937,A Visionary Look at Vibe Researching,2026,arXiv (Cornell University),02_slr/retrieval/pdfs/P1937.pdf,,,
6,P0552,Generative AI and Empirical Software Engineering: A Paradigm Shift,2025,Proceedings - 2025 2nd IEEE/ACM International Conf,02_slr/retrieval/pdfs/P0552.pdf,,,
7,P3457,ARCeR: An&#xa0;Agentic RAG for&#xa0;the&#xa0;Automated Definition of&#xa0;Cyber ,2025,"Availability, Reliability and Security",02_slr/retrieval/pdfs/P3457.pdf,,,
8,P1252,SWE-EVO: Benchmarking Coding Agents in Long-Horizon Software Evolution Scenarios,2025,,02_slr/retrieval/pdfs/P1252.pdf,,,
9,P0781,Spec-Driven Development for Agentic Software Engineering: Harnessing Human-Agent,2026,arXiv (Cornell University),02_slr/retrieval/pdfs/P0781.pdf,,,
10,P3283,Comparing a Human’s and a Multi-Agent System’s Thematic Analysis: Assessing Qual,2025,Artificial Intelligence in Education,02_slr/retrieval/pdfs/P3283.pdf,,,
11,P0694,Hierarchical Large Language Models in Cloud-Edge-End Architecture for Heterogene,2023,ACM International Conference Proceeding Series,02_slr/retrieval/pdfs/P0694.pdf,,,
12,P0093,Beyond Task Completion: An Assessment Framework for Evaluating Agentic AI System,2026,Proceedings 2026 International Workshop on Agentic,02_slr/retrieval/pdfs/P0093.pdf,,,
13,P0958,Asuka-Bench: Benchmarking Code Agents on Underspecified User Intent and Multi-Ro,2026,arXiv (Cornell University),02_slr/retrieval/pdfs/P0958.pdf,,,
14,P0866,Demonstrating GenDB: Instance-Optimized and Customized Query Processing Code Gen,2026,arXiv (Cornell University),02_slr/retrieval/pdfs/P0866.pdf,,,
